,type,profit,profitPercent,coinChange,order.coinAmt,order.usdtAmt,order.enterPrice,order.exitPrice,order.entryTime,order.exitTime
0,short,-0.005434970555686647,-0.05434970555686647,17.189453125,0.00031618053908781914,10.0,31627.5,31644.689453125,1626543660000.0,1626543840000.0
1,short,-0.006622732854058455,-0.06626334247211028,20.96875,0.00031583822850949993,9.994565029444313,31644.5703125,31665.5390625,1626544080000.0,1626544140000.0
2,short,-0.008771585207771437,-0.08782174493304727,27.80078125,0.000315515780973667,9.987942296590255,31655.919921875,31683.720703125,1626544260000.0,1626544320000.0
3,short,-0.004409151990133253,-0.044183551095123244,14.0,0.00031493942786664405,9.979170711382483,31686.0,31700.0,1626544800000.0,1626545100000.0
4,short,-0.021800183321435185,-0.21855342798553296,69.19921875,0.0003150351075522135,9.97476155939235,31662.380859375,31731.580078125,1626545400000.0,1626545460000.0
5,short,-0.0030558664668092206,-0.030703087767990224,9.73046875,0.00031405131092067346,9.952961376070915,31692.150390625,31701.880859375,1626545520000.0,1626545700000.0
6,short,-0.01682871352155857,-0.16913440540027966,53.66015625,0.0003136165583110656,9.949905509604106,31726.33984375,31780.0,1626546720000.0,1626546900000.0
7,short,0.013968902066384459,0.14063016276984366,-44.689453125,0.00031257715388264043,9.933076796082547,31778.0,31733.310546875,1626547260000.0,1626547920000.0
8,short,-0.013367200668024992,-0.13438362578863516,42.599609375,0.00031378693054097574,9.947045698148932,31700.0,31742.599609375,1626547980000.0,1626548280000.0
9,short,-0.014747421783836145,-0.14845881903240538,47.16015625,0.0003127093495123211,9.933678497480907,31766.490234375,31813.650390625,1626548820000.0,1626548880000.0
10,short,-0.026153934030311632,-0.26367694089933597,83.66015625,0.0003126211473016758,9.91893107569707,31728.279296875,31811.939453125,1626548940000.0,1626549060000.0
11,short,-0.0007728418365111622,-0.007812182822314665,2.48046875,0.0003115708821205205,9.892777141666759,31751.2890625,31753.76953125,1626549240000.0,1626549900000.0
12,short,-0.00758321430583031,-0.07666003851171438,24.390625,0.00031090692861832477,9.892004299830248,31816.609375,31841.0,1626550380000.0,1626550500000.0
13,short,-0.002193188996519879,-0.022188340394884338,7.0703125,0.00031019689674536286,9.884421085524417,31864.990234375,31872.060546875,1626550980000.0,1626551400000.0
14,short,-0.018787536671005967,-0.1901143837980799,60.439453125,0.0003108488859445959,9.882227896527898,31791.099609375,31851.5390625,1626551640000.0,1626552000000.0
15,short,-0.003202312103582017,-0.03246648214770043,10.330078125,0.00030999882719493757,9.863440359856892,31817.669921875,31828.0,1626552180000.0,1626552660000.0
16,short,0.009669578177861737,0.09806637660299677,-31.201171875,0.0003099107372184947,9.86023804775331,31816.380859375,31785.1796875,1626552840000.0,1626553440000.0
17,short,-0.008000696385057182,-0.08106151230875741,25.75,0.0003107066557303775,9.869907625931171,31766.0,31791.75,1626553740000.0,1626554100000.0
18,short,-0.002409400705447595,-0.024431387587212666,7.759765625,0.0003104991596246883,9.861906929546114,31761.4609375,31769.220703125,1626554220000.0,1626554580000.0
19,short,-0.004913616028437318,-0.04983637364951079,15.8203125,0.0003105890625382146,9.859497528840667,31744.509765625,31760.330078125,1626554820000.0,1626555000000.0
20,short,0.013324407554181406,0.13521025009344087,-42.9296875,0.0003103774644104145,9.85458391281223,31750.3203125,31707.390625,1626555240000.0,1626555960000.0
21,short,-0.007276702793687306,-0.07374108633203344,23.37109375,0.00031135482453353505,9.86790832036641,31693.44921875,31716.8203125,1626556200000.0,1626556260000.0
22,short,-0.009940874179150683,-0.10081376695418738,31.990234375,0.00031074715060294277,9.860631617572723,31732.009765625,31764.0,1626556740000.0,1626556800000.0
23,short,-0.013779213761504039,-0.13988068573511106,44.4296875,0.000310135284239946,9.850690743393573,31762.560546875,31806.990234375,1626557340000.0,1626557460000.0
24,short,0.03126076723202509,0.31779046846011777,-101.060546875,0.00030932711328675414,9.836911529632069,31801.0,31699.939453125,1626558000000.0,1626559560000.0
25,short,-0.004051613550807076,-0.04105738559200671,13.0,0.0003116625808313834,9.868172296864094,31663.0,31676.0,1626559620000.0,1626559860000.0
26,short,-0.006962488525793731,-0.07058397549385093,22.341796875,0.00031163511890961934,9.864120683313287,31652.7890625,31675.130859375,1626559920000.0,1626559980000.0
27,short,-0.01056610183045592,-0.10719217062016231,33.919921875,0.000311501361040673,9.857158194787493,31644.029296875,31677.94921875,1626560040000.0,1626560220000.0
28,short,0.007539325358305149,0.07656786517741296,-24.25,0.0003109000147754521,9.846592092957037,31671.25,31647.0,1626560760000.0,1626561180000.0
29,short,-0.010226770233821014,-0.1037815490750719,32.810546875,0.0003116915506706482,9.854131418315342,31615.009765625,31647.8203125,1626561240000.0,1626561300000.0
30,short,-0.00856059381207075,-0.0869633963159032,27.5,0.00031129432043897607,9.843904648081521,31622.5,31650.0,1626561420000.0,1626561720000.0
31,short,-0.006208813660919077,-0.06312756957621504,19.9609375,0.0003110481990597549,9.83534405426945,31620.0,31639.9609375,1626561780000.0,1626562140000.0
32,short,0.010490967778176596,0.10673337502605255,-33.75,0.00031084348972376674,9.829135240608531,31620.849609375,31587.099609375,1626562560000.0,1626563460000.0
33,short,-0.004463698036996533,-0.04536450818824748,14.310546875,0.00031191666370163827,9.839626208386708,31545.689453125,31560.0,1626563700000.0,1626563880000.0
34,short,-0.006653778457438975,-0.06765295896673887,21.330078125,0.0003119434639875483,9.835162510349711,31528.669921875,31550.0,1626564000000.0,1626564060000.0
