,type,profit,profitPercent,coinChange,order.coinAmt,order.usdtAmt,order.enterPrice,order.exitPrice,order.entryTime,order.exitTime
0,short,-0.06544239410384023,-0.6544239410384023,207.720703125,0.00031504993541476325,10.0,31741.0,31948.720703125,1626956880000.0,1626957300000.0
1,short,-0.09818666407291232,-0.9883345385670574,315.041015625,0.00031166311433488157,9.93455760589616,31875.94921875,32190.990234375,1626957360000.0,1626957720000.0
2,short,-0.005642808033108793,-0.05736676734217238,18.400390625,0.00030666783918388926,9.836370941823247,32075.0,32093.400390625,1626957960000.0,1626958320000.0
3,short,-0.01285306245782536,-0.1307437484070673,41.91015625,0.00030668132996580246,9.830728133790139,32055.189453125,32097.099609375,1626963060000.0,1626963540000.0
4,short,0.015768075521883418,0.16060578696835714,-51.55078125,0.00030587461798909824,9.817875071332313,32097.7109375,32046.16015625,1626964020000.0,1626964320000.0
5,short,-0.01387793947267646,-0.14112714144112543,45.291015625,0.0003064170516197274,9.833643146854197,32092.349609375,32137.640625,1626965100000.0,1626965220000.0
6,short,-0.019874972395447443,-0.20239763350459156,65.0,0.0003057688060838088,9.81976520738152,32115.0,32180.0,1626965280000.0,1626965580000.0
7,short,-0.03829733404243285,-0.39079349996910734,125.6484375,0.00030479753512599917,9.799890234986073,32152.130859375,32277.779296875,1626967020000.0,1626967380000.0
8,short,-0.006473897873538803,-0.06632009692714168,21.390625,0.000302651178894413,9.76159290094364,32253.609375,32275.0,1626968040000.0,1626968220000.0
9,short,-0.004646761496246654,-0.04763408313916252,15.380859375,0.00030211325537505364,9.755119003070101,32289.609375,32304.990234375,1626968400000.0,1626968460000.0
10,short,-0.04434702677743729,-0.45481927109490544,146.830078125,0.00030202957965930595,9.750472241573855,32283.169921875,32430.0,1626968520000.0,1626968640000.0
11,short,-0.016570805880629536,-0.1707252432244364,55.220703125,0.0003000832105147237,9.706125214796417,32344.779296875,32400.0,1626968700000.0,1626968820000.0
12,short,-0.03349837096259911,-0.34571632036841426,111.970703125,0.00029917085476548883,9.689554408915788,32388.029296875,32500.0,1626968880000.0,1626969840000.0
13,short,-0.01405017286721133,-0.14550633107333924,47.0,0.00029893984823854333,9.656056037953189,32301.0,32348.0,1626972960000.0,1626973080000.0
14,short,-0.03131876544938628,-0.32481587221174135,104.990234375,0.00029830170049456974,9.642005865085977,32323.0,32427.990234375,1626973260000.0,1626973800000.0
15,short,-0.017930808928143804,-0.18657156082858864,60.150390625,0.00029809962565215895,9.610687099636591,32239.849609375,32300.0,1626982020000.0,1626982560000.0
16,short,-0.012955350241737662,-0.13505347002598436,43.630859375,0.0002969308977021942,9.592756290708447,32306.359375,32349.990234375,1626983040000.0,1626984000000.0
17,short,-0.05874405689660911,-0.6132074900268983,197.728515625,0.00029709451219479274,9.57980094046671,32244.9609375,32442.689453125,1626989340000.0,1626990060000.0
18,short,-0.0171623764561879,-0.18025705198552014,57.970703125,0.00029605258399543127,9.5210568835701,32160.01953125,32217.990234375,1626993480000.0,1626994140000.0
19,short,-0.020076869463744984,-0.21124886696413692,67.900390625,0.0002956812071174263,9.503894507113912,32142.369140625,32210.26953125,1626994980000.0,1626995220000.0
20,short,-0.012053813694230087,-0.1270987502583052,40.9296875,0.00029450050636787943,9.483817637650167,32203.060546875,32243.990234375,1626995400000.0,1626995520000.0
21,short,-0.012483455446155034,-0.13179652362722497,42.4609375,0.0002939985827245336,9.471763823955937,32217.0390625,32259.5,1626995580000.0,1626995820000.0
22,short,-0.0069987697372173585,-0.07398839514807559,23.91015625,0.00029271116692167594,9.459280368509782,32316.08984375,32340.0,1627001880000.0,1627001940000.0
23,short,-0.0045293493917242245,-0.04791805390470368,15.490234375,0.0002924003137766461,9.452281598772565,32326.509765625,32342.0,1627003140000.0,1627003200000.0
24,short,-0.03168738808981786,-0.3353960524514653,108.5390625,0.00029194455304806463,9.44775224938084,32361.4609375,32470.0,1627003560000.0,1627004100000.0
25,short,-0.037858919682692616,-0.40206732048255917,130.380859375,0.00029037176058030944,9.416064861291023,32427.619140625,32558.0,1627004160000.0,1627004220000.0
26,short,-0.0157888989213113,-0.1683573491520443,54.888671875,0.000287653141931869,9.37820594160833,32602.48046875,32657.369140625,1627004580000.0,1627004640000.0
27,short,-0.0036655489812673636,-0.03915173789583025,12.76953125,0.0002870543099431793,9.362417042687019,32615.490234375,32628.259765625,1627004700000.0,1627005120000.0
28,short,-0.011143633574016931,-0.11907179693265288,38.75,0.0002875776406197918,9.358751493705752,32543.390625,32582.140625,1627012680000.0,1627012740000.0
29,short,0.0008642554853128814,0.009245739639967113,-3.009765625,0.00028715042730721393,9.347607860131735,32553.0,32549.990234375,1627012800000.0,1627013040000.0
30,short,-0.004982350992177587,-0.05329588547260405,17.380859375,0.00028665734442011895,9.348472115617048,32612.009765625,32629.390625,1627014000000.0,1627014540000.0
31,short,-0.00983095087509156,-0.1052171203987642,34.30078125,0.0002866101154792905,9.34348976462487,32600.0,32634.30078125,1627015860000.0,1627016160000.0
32,short,-0.010569420002802588,-0.11323983674261116,36.94921875,0.0002860525976020119,9.333658813749778,32629.169921875,32666.119140625,1627017600000.0,1627017720000.0
33,short,-0.05144561897223987,-0.551808706315147,180.0,0.00028580899429022,9.323089393746976,32620.0,32800.0,1627017780000.0,1627018440000.0
34,short,-0.01244163858159375,-0.13419021355677604,43.439453125,0.000286413333652986,9.271643774774736,32371.55078125,32414.990234375,1627031400000.0,1627031460000.0
35,short,-0.004103538568722698,-0.044318489955872585,14.310546875,0.00028674924896768456,9.259202136193142,32290.240234375,32304.55078125,1627037400000.0,1627037460000.0
36,short,-0.00430003032257531,-0.04646120489390608,15.0,0.0002866686881717336,9.25509859762442,32285.0,32300.0,1627037580000.0,1627037880000.0
37,short,-0.017307944554163512,-0.1870967617362322,60.560546875,0.00028579571102432653,9.250798567301844,32368.5703125,32429.130859375,1627038180000.0,1627038240000.0
38,short,-0.006768080942322285,-0.07329926697113226,23.73046875,0.0002852063738657655,9.23349062274768,32374.76953125,32398.5,1627038300000.0,1627038840000.0
